matchId,date,leagueId,league,round,homeId,awayId,homeTeam,awayTeam,homeRank,awayRank,homeFormation,awayFormation,homeRating,awayRating,homeScore,awayScore,result,homePossession,awayPossession,homeXG,awayXG,homeXGOT,awayXGOT,homeShots,awayShots,homeShotsOT,awayShotsOT,homeShotsOff,awayShotsOff,homeInsideBox,awayInsideBox,homeOutsideBox,awayOutsideBox,homeBigChance,awayBigChance,homeBigMiss,awayBigMiss,homeTouchesBox,awayTouchesBox,homePasses,awayPasses,homePassAcc,awayPassAcc,homeCrossAcc,awayCrossAcc,homeLongBallAcc,awayLongBallAcc,homeCorners,awayCorners,homeTackles,awayTackles,homeInterceptions,awayInterceptions,homeBlocks,awayBlocks,homeClearances,awayClearances,homeKeeperSaves,awayKeeperSaves,homeYellow,awayYellow,homeRed,awayRed,homeFouls,awayFouls,homeOffside,awayOffside,homeFifaRank,awayFifaRank,cityMatch,countryMatch,neutral
3370549,2022-11-20T16:00:00.000Z,868712,World Cup Grp. A,1,5902,6707,Qatar,Ecuador,50,44,5-3-2,4-3-3,6.4,7.2,0,2,A,47,53,0.32,1.18,0.00,1.46,5,6,0,3,5,3,2,3,3,3,1,1,1,0,2,16,434,486,81,85,38,29,45,46,1,3,10,15,2,12,0,0,18,6,1,0,4,2,0,0,15,15,3,4,50,44,Al Khor,Qatar,FALSE
3854559,2022-11-21T13:00:00.000Z,868713,World Cup Grp. B,1,8491,6711,England,Iran,5,20,4-2-3-1,5-4-1,7.5,6.1,6,2,H,78,22,2.11,1.75,3.07,1.83,13,8,7,3,2,4,10,6,3,2,3,2,0,1,25,11,797,215,90,66,29,0,63,27,8,0,13,12,7,16,1,4,4,23,1,1,0,2,0,0,9,14,2,2,5,20,Al Rayyan,Qatar,TRUE
3854554,2022-11-21T16:00:00.000Z,868712,World Cup Grp. A,1,6395,6708,Senegal,Netherlands,18,8,4-3-3,3-4-1-2,6.5,7,0,2,A,47,53,0.89,0.67,1.21,2.09,15,10,4,3,7,4,8,6,7,4,0,2,0,0,23,19,385,436,80,81,42,28,50,36,6,7,14,10,10,6,3,4,32,14,1,4,2,1,0,0,13,13,2,1,18,8,Doha,Qatar,TRUE
3854560,2022-11-21T19:00:00.000Z,868713,World Cup Grp. B,1,6713,5790,United States,Wales,16,19,4-3-3,3-4-3,6.8,6.9,1,1,D,59,41,0.79,1.55,0.80,1.37,6,7,1,3,4,3,4,5,2,2,2,3,1,2,20,18,567,403,87,76,13,36,55,54,5,3,14,18,6,8,1,1,18,29,2,1,4,2,0,0,15,10,1,1,16,19,Al Rayyan,Qatar,TRUE
3854572,2022-11-22T10:00:00.000Z,868714,World Cup Grp. C,1,6706,7795,Argentina,Saudi Arabia,3,51,4-4-2,4-3-3,6.5,7.1,1,2,A,69,31,2.26,0.15,2.52,1.04,15,3,6,2,6,0,11,3,4,0,2,0,1,0,29,18,596,266,85,68,39,20,46,30,9,2,17,18,9,14,1,2,9,27,0,5,0,6,0,0,7,21,10,1,3,51,Lusail,Qatar,TRUE
3854580,2022-11-22T13:00:00.000Z,868715,World Cup Grp. D,1,8238,6719,Denmark,Tunisia,10,30,3-5-2,3-4-3,6.7,6.9,0,0,D,61,39,1.60,0.92,0.88,0.93,11,13,5,1,3,5,7,8,4,5,1,1,1,1,27,14,595,374,84,75,32,31,52,34,11,9,12,24,11,8,7,3,11,37,1,5,2,1,0,0,9,10,1,1,10,30,Al Rayyan,Qatar,TRUE
3854573,2022-11-22T16:00:00.000Z,868714,World Cup Grp. C,1,6710,8568,Mexico,Poland,13,26,4-3-3,4-2-3-1,6.9,6.8,0,0,D,61,39,0.72,0.94,0.41,1.28,11,6,4,2,4,3,7,5,4,1,1,1,1,1,18,14,487,322,84,71,21,20,48,42,6,5,16,17,5,8,1,3,17,23,2,4,2,1,0,0,14,15,3,0,13,26,Doha,Qatar,TRUE
3854579,2022-11-22T19:00:00.000Z,868715,World Cup Grp. D,1,6723,6716,France,Australia,4,38,4-2-3-1,4-3-3,7.6,5.7,4,1,H,62,38,4.21,0.52,3.04,0.84,23,4,7,1,10,3,19,2,4,2,8,1,4,0,44,7,723,440,89,84,52,17,65,40,8,1,20,13,12,9,0,7,6,22,0,2,0,3,0,0,5,11,0,0,4,38,Al Wakrah,Qatar,TRUE
3854586,2022-11-23T13:00:00.000Z,868716,World Cup Grp. E,1,8570,6715,Germany,Japan,11,24,4-2-3-1,4-4-2,6.6,7.2,1,2,A,74,26,3.09,1.46,2.82,1.77,26,12,9,4,11,4,16,12,10,0,5,3,4,1,49,21,771,269,89,71,32,36,60,39,6,6,11,29,3,6,4,6,3,38,2,8,0,0,0,0,6,14,4,4,11,24,Al Rayyan,Qatar,TRUE
3854585,2022-11-23T16:00:00.000Z,868716,World Cup Grp. E,1,6720,6705,Spain,Costa Rica,7,31,4-3-3,4-4-2,7.7,5.6,7,0,H,82,18,3.53,0.00,4.14,0.00,17,0,8,0,7,0,13,0,4,0,5,0,1,0,30,4,1045,230,94,72,13,25,76,43,5,0,14,21,4,14,0,2,4,17,0,1,0,2,0,0,8,12,3,7,7,31,Doha,Qatar,TRUE
